Restaurant ID,Restaurant Name,Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
6317637,Le Petit Souffle,162,Makati City,121.03,14.57,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314
6304287,Izakaya Kikufuji,162,Makati City,121.01,14.55,Japanese,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,121.06,14.58,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270
6318506,Ooma,162,Mandaluyong City,121.06,14.59,"Japanese, Sushi",1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365
6314302,Sambo Kojin,162,Mandaluyong City,121.06,14.58,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229
18189371,Din Tai Fung,162,Mandaluyong City,121.06,14.58,Chinese,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336
6300781,Buffet 101,162,Pasay City,120.98,14.53,"Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4,Green,Very Good,520
6301290,Vikings,162,Pasay City,120.98,14.54,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,120.98,14.55,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621
6314987,Locavore,162,Pasig City,121.06,14.57,Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532
6309903,Silantro Fil-Mex,162,Pasig City,121.06,14.57,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,121.06,14.57,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488
6318433,Silantro Fil-Mex,162,Quezon City,121.08,14.65,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294
6310470,Guevarra's,162,San Juan City,121.03,14.59,Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458
6314605,Sodam Korean Restaurant,162,San Juan City,121.04,14.6,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223
18185059,Cafe Arabelle,162,Santa Rosa,121.06,14.24,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,121.06,14.24,"Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4,Green,Very Good,72
6318213,Balay Dako,162,Tagaytay City,120.95,14.1,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211
18255654,Hobing Korean Dessert Cafe,162,Taguig City,121.05,14.55,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118
6308205,Wildflour Cafe + Bakery,162,Taguig City,121.05,14.55,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392
6315438,NIU by Vikings,162,Taguig City,121.05,14.55,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535
6310406,The Food Hall by Todd English,162,Taguig City,121.05,14.55,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618
6600681,Chez Michou,30,Brasí_lia,-47.88,-15.76,"Fast Food, French",55,Brazilian Real(R$),No,No,No,No,2,3,Orange,Average,6
6601005,Cafí© Daniel Briand,30,Brasí_lia,-47.88,-15.78,Cafe,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9
6600292,Casa do Biscoito Mineiro,30,Brasí_lia,-47.88,-15.76,Bakery,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11
6600441,Maori,30,Brasí_lia,-47.89,-15.76,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11
6600970,Pizza íæ Bessa,30,Brasí_lia,-47.92,-15.83,Pizza,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11
6600379,Sushi Loko,30,Brasí_lia,-47.92,-15.83,Japanese,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10
6600214,Beirute,30,Brasí_lia,-47.91,-15.82,Arabian,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8
6601218,New Koto,30,Brasí_lia,-47.91,-15.83,Japanese,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5
6600060,Sandubas Cafí©,30,Brasí_lia,-47.89,-15.8,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,No,1,0,White,Not rated,2
6600083,Villa Tevere,30,Brasí_lia,-47.92,-15.83,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12
6601515,Rovereto,30,Brasí_lia,-48.02,-15.84,Pizza,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9
6601361,Buena Carne,30,Brasí_lia,-48.02,-15.84,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9
6601602,Taco Pep,30,Brasí_lia,-48.02,-15.83,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29
6601589,Coco Bambu,30,Brasí_lia,-47.89,-15.79,International,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17
6601862,Taypíç,30,Brasí_lia,-47.87,-15.86,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5
6601595,Outback Steakhouse,30,Brasí_lia,-47.96,-15.83,"American, Grill",150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,10
6601158,Manzuíç,30,Brasí_lia,-47.87,-15.83,Seafood,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6
6600427,Coco Bambu,30,Brasí_lia,-47.87,-15.82,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30
6600116,Gero,30,Brasí_lia,-47.89,-15.72,Italian,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8
6601457,Brazilian American Burgers,30,Brasí_lia,-47.92,-15.8,"American, Burger",50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,-43.38,-23.01,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,7
7304307,Confeitaria Colombo,30,Rio de Janeiro,-43.18,-22.91,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29
7301215,Bibi,30,Rio de Janeiro,-43.19,-22.97,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24
7300596,Cervantes,30,Rio de Janeiro,-43.18,-22.96,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29
7300612,Amir,30,Rio de Janeiro,-43.18,-22.97,Lebanese,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11
7300704,TT Burger,30,Rio de Janeiro,-43.19,-22.99,Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19
7300955,Braseiro da Gíçvea,30,Rio de Janeiro,-43.23,-22.97,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40
7300521,Balada Mix,30,Rio de Janeiro,-43.21,-22.99,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21
7300515,Garota de Ipanema,30,Rio de Janeiro,-43.2,-22.99,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49
7300483,Zazíç BistríÇ Tropical,30,Rio de Janeiro,-43.21,-22.99,Brazilian,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21
7301064,Filí© de Ouro,30,Rio de Janeiro,-43.22,-22.97,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14
7304312,D.O.C Ristorante,30,Rio de Janeiro,-43.35,-23,Italian,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,5
7300004,Sushi Leblon,30,Rio de Janeiro,-43.23,-22.98,Japanese,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25
7300868,Talho Capixaba,30,Rio de Janeiro,-43.23,-22.99,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13
7302637,Leme Light,30,Rio de Janeiro,-43.17,-22.96,Brazilian,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7
7302140,Shirley,30,Rio de Janeiro,-43.17,-22.96,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,-43.34,-22.87,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,1
7302898,Aprazí_vel,30,Rio de Janeiro,-43.19,-22.92,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44
7302859,Aconchego Carioca,30,Rio de Janeiro,-43.22,-22.91,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24
7301700,Garota de Ipanema,30,Rio de Janeiro,-43.16,-22.95,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10
6706313,Cantina Famiglia Mancini,30,Sí£o Paulo,-46.65,-23.55,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49
6704326,Templo da Carne - Marcos Bassi,30,Sí£o Paulo,-46.65,-23.56,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17
6711179,Gopala Hari,30,Sí£o Paulo,-46.66,-23.56,Indian,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5
6702797,Jiquitaia,30,Sí£o Paulo,-46.66,-23.56,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15
6700475,Skye - Hotel Unique,30,Sí£o Paulo,-46.67,-23.58,"Beverages, International",300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59
6713413,Les 3 Brasseurs,30,Sí£o Paulo,-46.68,-23.58,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30
6714340,Red Steak & Burger,30,Sí£o Paulo,-46.68,-23.59,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5
6710645,Cantinho da Gula,30,Sí£o Paulo,-46.68,-23.58,Brazilian,55,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,0
6700402,Paris 6 Classique,30,Sí£o Paulo,-46.67,-23.56,French,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73
6700846,Kawa Sushi,30,Sí£o Paulo,-46.66,-23.57,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9
6702159,A Figueira Rubaiyat,30,Sí£o Paulo,-46.67,-23.57,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39
6711666,Kinoshita,30,Sí£o Paulo,-46.67,-23.59,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12
6701257,Meats,30,Sí£o Paulo,-46.68,-23.56,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68
